long name	short name	code	answered
Szociáldemokraták	Szociáldemokraták	GJkw9kcE	1
Jobbik Magyarországért Mozgalom	Jobbik Magyarországért Mozgalom	DAgQSJBb	1
Magyar Liberális Párt	Magyar Liberális Párt	YH48Aexd	1
Kereszténydemokrata Néppárt	Kereszténydemokrata Néppárt	SZpr4wFP	1
Demokratikus Koalíció	Demokratikus Koalíció	fLsHVb3w	1
Együtt2014-PM	Együtt2014-PM	excelben küldte	1
Fidesz	Fidesz	7K2m17f	1
Magyar Szocialista Párt	MSZP	aWeHSDwF	1
Lehet Más a Politika	LMP	yR5jkAjn	1
