id	long name	short name	code	answered
1	Tarlós István (Fidesz/KDNP)	Tarlós István	12345678	1
2	Staudt Gábor (Jobbik)	Staudt Gábor	155456	1
3	Bodnár Zoltán (MLP)	Bodnár Zoltán	155656	1
4	Bokros Lajos (MoMa)	Bokros Lajos	K-Mon	1
5	Csárdi Antal (LMP)	Csárdi Antal	DDD	1
