number	Name hu	Short name hu	code	
1	Demokratikus Koalíció	DK	155256	Demokratikus Koalíció
2	Jobbik Magyarországért Mozgalom	Jobbik	981112	Jobbik Magyarországért Mozgalom
3	Lehet Más a Politika	LMP	589152	Lehet Más a Politika
4	Magyar Szocialista Párt	MSZP	327821	Magyar Szocialista Párt
5	Fidesz-Magyar Polgári Szövetség	Fidesz	984167	Fidesz-Magyar Polgári Szövetség
6	Együtt-PM	Együtt-PM	125672	Együtt-PM
